Date,Open,High,Low,Close,Adj Close,Volume
2018-03-06,34.580002,34.950001,33.860001,34.430000,34.430000,22641000
2018-03-07,33.990002,35.820000,33.990002,35.759998,35.759998,33656100
2018-03-08,35.419998,35.840000,34.680000,34.849998,34.849998,24845300
2018-03-09,35.200001,35.500000,34.939999,35.349998,35.349998,19119500
2018-03-12,35.529999,35.730000,34.830002,35.500000,35.500000,21078900
2018-03-13,35.400002,35.529999,33.900002,34.110001,34.110001,22096900
2018-03-14,34.299999,36.799999,34.090000,36.599998,36.599998,41632800
2018-03-15,36.410000,36.480000,35.400002,35.799999,35.799999,20921800
2018-03-16,36.000000,36.200001,35.520000,35.580002,35.580002,13833800
2018-03-19,35.130001,35.740002,34.410000,34.980000,34.980000,22194800
2018-03-20,34.919998,34.950001,30.610001,31.350000,31.350000,82937600
2018-03-21,32.189999,33.150002,32.049999,32.730000,32.730000,43672100
2018-03-22,31.770000,32.130001,31.180000,31.200001,31.200001,29561900
2018-03-23,31.260000,32.000000,30.790001,31.030001,31.030001,24878100
2018-03-26,31.690001,32.470001,30.700001,31.910000,31.910000,25546300
2018-03-27,31.850000,31.900000,27.879999,28.070000,28.070000,80415500
2018-03-28,27.780001,29.110001,27.389999,28.450001,28.450001,47853600
2018-03-29,28.760000,29.330000,27.900000,29.010000,29.010000,36828400
2018-04-02,28.370001,28.770000,27.750000,28.040001,28.040001,24353100
2018-04-03,28.360001,28.870001,27.219999,27.540001,27.540001,26071700
2018-04-04,26.850000,28.340000,26.600000,28.250000,28.250000,22002000
2018-04-05,28.510000,29.330000,28.100000,28.639999,28.639999,24407300
2018-04-06,28.280001,29.059999,27.969999,28.100000,28.100000,15318000
2018-04-09,28.100000,28.790001,28.000000,28.010000,28.010000,13973200
2018-04-10,28.360001,30.299999,28.280001,29.530001,29.530001,28667400
2018-04-11,29.459999,29.830000,28.730000,29.389999,29.389999,25287900
2018-04-12,29.889999,29.900000,28.780001,29.000000,29.000000,17327000
2018-04-13,29.240000,29.459999,28.430000,28.760000,28.760000,12712600
2018-04-16,28.850000,28.950001,28.360001,28.580000,28.580000,11505300
2018-04-17,29.450001,32.060001,29.430000,31.840000,31.840000,46696000
2018-04-18,31.670000,32.060001,31.070000,31.540001,31.540001,25140000
2018-04-19,31.370001,32.279999,30.959999,31.540001,31.540001,22640100
2018-04-20,32.650002,33.119999,31.650000,31.910000,31.910000,34819700
2018-04-23,32.509998,32.619999,30.850000,31.219999,31.219999,29411000
2018-04-24,31.180000,31.639999,29.629999,30.469999,30.469999,41265300
2018-04-25,31.350000,32.000000,28.139999,29.750000,29.750000,93090400
2018-04-26,30.350000,31.420000,30.120001,30.270000,30.270000,43784200
2018-04-27,30.170000,30.320000,28.590000,29.000000,29.000000,37420100
2018-04-30,28.620001,30.750000,28.430000,30.309999,30.309999,41760200
